0.2, 0.4033333333333333,1, 0.14, 0.2366666666666667, 0.06, 0.16666666666666666, 0, 0, 0.059233449477351915
0.2, 0.41,2, 0.14, 0.25000000000000006, 0.06, 0.15999999999999998, 1, 4.0, 0.047097480832420595
0.2, 0.4066666666666667,3, 0.14, 0.23333333333333336, 0.06, 0.1733333333333333, 1, 4.0, 0.04188759278897137
0.2, 0.39,4, 0.14, 0.24666666666666667, 0.06, 0.1433333333333333, 1, 4.0, 0.0423861852433281
0.2, 0.3866666666666667,5, 0.14, 0.25000000000000006, 0.06, 0.13666666666666666, 0, 0, 0.041294874455281176
0.2, 0.37000000000000005,6, 0.14, 0.26, 0.06, 0.10999999999999999, 0, 0, 0.04168507880394756
0.2, 0.42000000000000004,7, 0.14, 0.30000000000000004, 0.06, 0.12, 0, 0, 0.04447128582409136
0.2, 0.44333333333333336,8, 0.14, 0.31333333333333335, 0.06, 0.12999999999999998, 1, 4.0, 0.046775696974832644
0.2, 0.4466666666666667,9, 0.14, 0.3166666666666667, 0.06, 0.12999999999999998, 2, 4.0, 0.04865737936604078
0.2, 0.45999999999999996,10, 0.14, 0.3066666666666667, 0.06, 0.15333333333333332, 2, 4.0, 0.05066622799802599
0.2, 0.43,11, 0.14, 0.2833333333333333, 0.06, 0.14666666666666667, 2, 4.0, 0.05270116252564395
0.2, 0.43,12, 0.14, 0.31000000000000005, 0.06, 0.12, 2, 4.0, 0.05443120928260283
0.2, 0.44000000000000006,13, 0.14, 0.3166666666666667, 0.06, 0.12333333333333332, 2, 4.0, 0.05570440938109887
0.2, 0.44333333333333336,14, 0.14, 0.30000000000000004, 0.06, 0.1433333333333333, 1, 4.0, 0.057209288974366335
0.2, 0.45333333333333337,15, 0.14, 0.32, 0.06, 0.13333333333333333, 1, 5.0, 0.058380035686461766
0.2, 0.45,16, 0.14, 0.32333333333333336, 0.06, 0.12666666666666668, 1, 5.0, 0.059651459651459654
0.2, 0.4633333333333334,17, 0.14, 0.33666666666666667, 0.06, 0.12666666666666668, 0, 0, 0.06069826717512003
0.2, 0.46666666666666673,18, 0.14, 0.33666666666666667, 0.06, 0.12999999999999998, 1, 5.0, 0.06147287233101594
0.2, 0.48666666666666664,19, 0.14, 0.34666666666666673, 0.06, 0.14, 1, 5.0, 0.062310805213013416
0.2, 0.48666666666666664,20, 0.14, 0.3433333333333334, 0.06, 0.1433333333333333, 1, 6.0, 0.06321283866595533
0.2, 0.4766666666666667,21, 0.14, 0.33, 0.06, 0.14666666666666667, 1, 5.0, 0.06398657330920725
0.2, 0.43,22, 0.14, 0.3066666666666667, 0.06, 0.12333333333333332, 1, 6.0, 0.06469693521922944
0.2, 0.43666666666666665,23, 0.14, 0.3166666666666667, 0.06, 0.12, 1, 5.0, 0.06528832104760127
0.2, 0.42333333333333334,24, 0.14, 0.30333333333333334, 0.06, 0.12, 1, 5.0, 0.0658590597918963
0.2, 0.43,25, 0.14, 0.29000000000000004, 0.06, 0.14, 1, 5.0, 0.06628312054617964
0.2, 0.44333333333333336,26, 0.14, 0.3066666666666667, 0.06, 0.13666666666666666, 1, 5.0, 0.06668223854385646
0.2, 0.4766666666666667,27, 0.14, 0.3266666666666667, 0.06, 0.15, 1, 5.0, 0.06693397401386891
0.2, 0.4933333333333334,28, 0.14, 0.32, 0.06, 0.1733333333333333, 1, 5.0, 0.06703275328056499
0.2, 0.48333333333333334,29, 0.14, 0.30333333333333334, 0.06, 0.18, 1, 5.0, 0.06704558149927382
0.2, 0.45999999999999996,30, 0.14, 0.32, 0.06, 0.14, 1, 5.0, 0.06696099112455019
0.2, 0.45999999999999996,31, 0.14, 0.3166666666666667, 0.06, 0.1433333333333333, 1, 5.0, 0.06689520078354555
0.2, 0.45,32, 0.14, 0.33, 0.06, 0.12, 2, 4.5, 0.06688517049048358
0.2, 0.4466666666666667,33, 0.14, 0.3266666666666667, 0.06, 0.12, 1, 5.0, 0.06694411221932992
0.2, 0.47000000000000003,34, 0.14, 0.33666666666666667, 0.06, 0.13333333333333333, 1, 5.0, 0.06706467661691543
0.2, 0.44333333333333336,35, 0.14, 0.31000000000000005, 0.06, 0.13333333333333333, 1, 5.0, 0.06723624483187325
0.2, 0.43333333333333335,36, 0.14, 0.2966666666666667, 0.06, 0.13666666666666666, 1, 5.0, 0.06738715250080907
0.2, 0.4266666666666667,37, 0.14, 0.28, 0.06, 0.14666666666666667, 1, 5.0, 0.06749393366320389
0.2, 0.4633333333333334,38, 0.14, 0.30000000000000004, 0.06, 0.16333333333333333, 2, 4.5, 0.06763376036171816
0.2, 0.46666666666666673,39, 0.14, 0.3066666666666667, 0.06, 0.15999999999999998, 1, 7.0, 0.06782687863295749
0.2, 0.48333333333333334,40, 0.14, 0.32333333333333336, 0.06, 0.15999999999999998, 1, 5.0, 0.0679924950318443
0.2, 0.4733333333333334,41, 0.14, 0.31333333333333335, 0.06, 0.15999999999999998, 1, 5.0, 0.06819879628455044
0.2, 0.4733333333333334,42, 0.14, 0.33, 0.06, 0.1433333333333333, 1, 6.0, 0.0684538506760729
0.2, 0.45666666666666667,43, 0.14, 0.29000000000000004, 0.06, 0.16666666666666666, 2, 4.5, 0.06879747099239823
0.2, 0.4733333333333334,44, 0.14, 0.30333333333333334, 0.06, 0.17, 2, 5.5, 0.06919450732224301
0.2, 0.4733333333333334,45, 0.14, 0.3066666666666667, 0.06, 0.16666666666666666, 2, 6.0, 0.06956832488261261
0.2, 0.4633333333333334,46, 0.14, 0.30333333333333334, 0.06, 0.15999999999999998, 2, 6.0, 0.06997726208600034
